date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2024-09-26 00:00,1727308800,BOT,2655.33,1.54,19.58,1.14,30.2,0.49,0.47,4.87,9.2,0.6,19.6,19.6,0,2024,FORTE,FORTE
2024-10-04 05:45,1728020700,TOP,2667.89,1.84,19.58,1.35,36.0,0.29,0.76,10.47,14.9,0.4,19.6,19.6,0,2024,FORTE,MONSTRO
2025-08-14 00:30,1755131400,TOP,3374.82,2.63,19.52,1.52,51.3,1.86,0.17,7.25,3.4,6.3,24.1,19.5,0,2025,FORTE,FRACO
2025-02-14 10:30,1739529000,TOP,2939.94,3.27,19.32,2.15,63.2,0.42,0.58,5.61,11.2,2.7,19.3,19.3,0,2025,FORTE,FORTE
2024-10-17 12:30,1729168200,BOT,2673.07,3.51,19.21,2.52,67.5,1.97,0.25,3.73,4.7,13.4,33.3,19.2,0,2024,FORTE,MEDIO
2025-07-07 22:15,1751926500,TOP,3345.83,3.31,19.14,1.9,63.4,1.39,0.24,7.11,4.6,3.4,19.1,19.1,0,2025,FORTE,MEDIO
2025-11-25 08:45,1764060300,BOT,4109.49,8.13,19.08,3.77,155.1,3.84,0.13,5.07,2.5,77.9,183.1,19.1,0,2025,FORTE,FRACO
2025-06-02 23:15,1748906100,TOP,3392.18,3.11,18.96,1.74,59.0,0.61,0.41,4.75,7.7,2.4,19.0,19.0,0,2025,FORTE,FORTE
2025-07-30 09:45,1753868700,TOP,3334.02,3.49,18.93,1.98,66.1,0.41,0.62,4.73,11.8,2.0,18.9,18.9,0,2025,FORTE,FORTE
2026-02-23 23:15,1771888500,TOP,5249.73,8.33,18.76,2.98,156.3,0.61,0.44,5.6,8.3,3.6,18.8,18.8,0,2026,FORTE,FORTE
2025-05-15 06:00,1747288800,BOT,3120.44,7.09,18.6,4.22,131.8,0.66,0.58,3.27,10.8,251.7,349.5,18.6,0,2025,FORTE,MONSTRO
2024-07-17 14:00,1721224800,TOP,2483.64,5.45,18.33,4.02,99.8,2.9,0.23,4.3,4.2,21.0,24.0,18.3,0,2024,FORTE,MEDIO
2026-04-22 07:00,1776841200,TOP,4772.39,6.3,18.23,2.4,114.8,1.81,0.13,9.43,2.4,13.1,43.2,18.2,0,2026,FORTE,FRACO
2026-04-29 00:00,1777420800,TOP,4610.34,5.49,18.22,2.17,100.0,0.57,0.37,5.75,6.7,1.3,18.2,18.2,0,2026,FORTE,MEDIO
2025-09-03 18:15,1756923300,TOP,3578.54,3.72,18.08,1.88,67.3,0.32,0.66,5.57,11.9,1.7,18.1,18.1,0,2025,FORTE,MONSTRO
2024-11-07 01:15,1730942100,BOT,2643.12,3.78,17.79,2.55,67.3,0.92,0.39,3.41,6.9,2.4,17.8,17.8,0,2024,FORTE,FORTE
2025-04-04 11:00,1743764400,TOP,3136.35,9.32,17.77,5.28,165.7,0.5,0.53,5.63,9.5,3.9,19.3,17.8,0,2025,FORTE,FORTE
2026-01-02 18:30,1767378600,BOT,4309.72,10.78,17.72,4.43,191.0,2.07,0.24,4.04,4.2,53.0,119.5,17.7,0,2026,FORTE,MEDIO
2024-12-20 01:00,1734656400,BOT,2589.71,2.65,17.68,1.81,46.9,0.88,0.41,6.72,7.2,348.3,1133.0,17.7,0,2024,FORTE,FORTE
2025-12-30 13:00,1767099600,TOP,4404.26,7.38,17.67,2.96,130.3,0.67,0.32,7.0,5.7,2.3,17.7,17.7,0,2025,FORTE,MEDIO
2025-05-09 16:15,1746807300,TOP,3347.48,7.91,17.66,4.18,139.8,0.73,0.45,4.06,8.0,9.4,28.7,17.7,0,2025,FORTE,FORTE
2024-11-25 02:15,1732500900,TOP,2702.29,5.58,17.41,3.59,97.1,0.84,0.4,6.34,7.0,11.3,17.4,17.4,0,2024,FORTE,MEDIO
2024-10-10 12:30,1728563400,BOT,2601.78,3.8,17.03,2.49,64.8,1.66,0.28,4.79,4.7,21.8,49.5,17.0,0,2024,FORTE,MEDIO
2025-08-20 01:15,1755652500,BOT,3311.42,2.4,17.0,1.23,40.8,0.82,0.32,7.57,5.4,186.1,951.5,17.0,0,2025,FORTE,MEDIO
2025-08-07 22:00,1754604000,TOP,3407.86,4.54,16.99,2.26,77.1,2.59,0.12,6.35,2.0,14.0,21.3,17.0,0,2025,FORTE,FRACO
2024-06-25 10:15,1719310500,TOP,2337.08,2.57,16.98,1.87,43.6,1.1,0.25,5.22,4.2,2.9,17.0,17.0,0,2024,FORTE,MEDIO
2025-07-04 06:15,1751609700,TOP,3345.13,2.88,16.88,1.45,48.6,0.98,0.26,5.79,4.4,1.4,16.9,16.9,0,2025,FORTE,MEDIO
2025-05-28 09:45,1748425500,TOP,3325.51,4.75,16.86,2.41,80.1,0.6,0.45,4.66,7.6,1.2,16.9,16.9,0,2025,MEDIO,FORTE
2024-10-15 05:30,1728970200,BOT,2638.1,2.81,16.78,1.78,47.1,1.29,0.27,4.03,4.6,18.5,54.2,16.8,0,2024,FORTE,MEDIO
2026-05-12 00:15,1778544900,TOP,4773.53,8.18,16.54,2.84,135.4,0.62,0.44,3.42,7.3,8.6,39.1,16.5,0,2026,MEDIO,FORTE
2025-01-03 03:15,1735874100,TOP,2665.12,3.07,16.51,1.9,50.7,1.42,0.24,7.91,4.0,3.3,16.5,16.5,0,2025,MEDIO,MEDIO
2026-05-03 22:30,1777847400,TOP,4629.43,7.83,16.47,2.78,128.9,0.73,0.33,7.33,5.4,2.1,16.5,16.5,0,2026,MEDIO,MEDIO
2024-09-30 00:00,1727654400,TOP,2665.99,2.51,16.45,1.55,41.3,0.76,0.3,5.23,5.0,1.5,16.5,16.5,0,2024,MEDIO,MEDIO
