bar_idx,datetime,mfe_R,capped,letrun,policy,class_ABCDE,leg,context
6977,2024-07-05,0.01,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
6992,2024-07-10,7.24,1.78,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
7022,2024-07-17,0.41,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
7053,2024-07-24,0.6,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
7065,2024-07-26,6.42,0.9,5.0,TAKE,C_bom_preservado,MACRO_BULL_LEG,BOTTOM
7094,2024-08-02,0.55,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
7119,2024-08-08,5.44,1.91,4.66,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
7129,2024-08-12,6.15,0.9,3.38,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
7149,2024-08-15,7.73,3.9,7.28,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
7232,2024-09-04,18.67,3.9,15.68,SKIP,B_bom_prejudicado_exit,MACRO_RANGE,TOP
7253,2024-09-09,9.88,3.61,7.52,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
7408,2024-10-15,6.69,1.58,-1.0,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
7426,2024-10-18,4.61,0.37,-1.0,TAKE,E_residual,MACRO_TRANSITION,PULLBACK
7454,2024-10-25,12.45,0.9,-1.0,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_TRANSITION,PULLBACK
7509,2024-11-07,0.56,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
7549,2024-11-18,5.53,1.5,2.67,SKIP,B_bom_prejudicado_exit,MACRO_TRANSITION,TOP
7569,2024-11-21,2.88,-1.1,-1.0,TAKE,E_residual,MACRO_TRANSITION,PULLBACK
7577,2024-11-22,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_TRANSITION,PULLBACK
7662,2024-12-12,0.35,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
7710,2024-12-26,0.93,1.21,-1.0,SKIP,E_residual,MACRO_TRANSITION,TOP
7731,2024-12-31,9.69,2.05,7.55,SKIP,B_bom_prejudicado_exit,MACRO_TRANSITION,TOP
7765,2025-01-09,12.54,1.44,11.19,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
7797,2025-01-16,0.12,1.31,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
7816,2025-01-21,10.94,1.62,10.52,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
7838,2025-01-27,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
7869,2025-02-03,5.47,0.89,2.79,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
7902,2025-02-11,0.02,0.17,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
7924,2025-02-14,9.59,3.9,-1.0,SKIP,B_bom_prejudicado_exit,MACRO_BULL_LEG,TOP
7933,2025-02-18,2.16,-1.1,-1.0,TAKE,E_residual,MACRO_BULL_LEG,PULLBACK
7943,2025-02-19,0.75,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
7993,2025-03-04,0.58,1.16,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8080,2025-03-24,14.4,3.9,-1.0,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
8095,2025-03-27,6.84,0.9,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
8111,2025-03-31,0.53,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
8133,2025-04-04,1.12,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
8149,2025-04-09,9.46,2.48,5.97,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
8157,2025-04-10,6.41,0.57,3.38,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
8200,2025-04-22,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
8216,2025-04-25,3.61,0.9,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
8236,2025-04-30,0.0,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
8277,2025-05-09,0.04,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
8338,2025-05-23,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
8357,2025-05-28,9.15,1.78,3.24,SKIP,B_bom_prejudicado_exit,MACRO_CORRECTIVE_PULLBACK,TOP
8371,2025-06-02,1.62,0.51,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,TOP
8403,2025-06-09,3.63,0.66,-1.0,TAKE,E_residual,MACRO_RANGE,PULLBACK
8431,2025-06-16,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8460,2025-06-23,1.97,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
8479,2025-06-26,0.0,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8497,2025-07-01,0.63,-0.09,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8544,2025-07-11,1.83,1.01,-1.0,TAKE,D_ruim_mantido,MACRO_CORRECTIVE_PULLBACK,PULLBACK
8589,2025-07-22,0.32,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_RANGE,PULLBACK
8622,2025-07-30,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
8635,2025-08-01,2.76,-0.19,2.74,REVIEW,C_bom_preservado,MACRO_BULL_LEG,NEUTRAL
8659,2025-08-07,1.07,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_TRANSITION,PULLBACK
8765,2025-09-02,15.28,1.95,15.25,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
8823,2025-09-15,1.05,2.05,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8858,2025-09-23,0.13,1.24,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
