b,dt,conv,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,regime,macro_leg,why_low
7129,2024-08-12,3,0,0,0,6.15,0.9,1,0,BULL,MACRO_RANGE,sweep
7149,2024-08-15,3,0,0,0,7.73,3.9,1,0,TRANSITION,MACRO_RANGE,snap
7232,2024-09-04,3,0,0,0,18.67,3.9,1,1,BULL,MACRO_RANGE,snap
7253,2024-09-09,3,0,0,0,9.88,3.61,1,0,TRANSITION,MACRO_RANGE,sweep
7408,2024-10-15,3,0,0,0,6.69,1.58,1,0,BULL,MACRO_BULL_LEG,sweep
7426,2024-10-18,3,0,0,0,4.61,0.37,1,0,BULL,MACRO_TRANSITION,sweep
7454,2024-10-25,2,0,0,0,12.45,0.9,1,1,BULL,MACRO_TRANSITION,snap|sweep
7509,2024-11-07,2,0,0,0,0.56,-1.1,0,0,BULL,MACRO_TRANSITION,sweep|bubble
7549,2024-11-18,2,0,0,0,5.53,1.5,1,0,TRANSITION,MACRO_TRANSITION,sweep|bubble
7569,2024-11-21,3,0,0,0,2.88,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
7577,2024-11-22,3,0,0,0,0.0,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
7662,2024-12-12,4,0,0,0,0.35,-1.1,0,0,BULL,MACRO_RANGE,
7710,2024-12-26,3,0,0,0,0.93,1.21,1,0,TRANSITION,MACRO_TRANSITION,sweep
7731,2024-12-31,2,0,0,0,9.69,2.05,1,0,TRANSITION,MACRO_TRANSITION,sweep|bubble
7765,2025-01-09,3,0,0,0,12.54,1.44,1,1,BULL,MACRO_RANGE,sweep
7797,2025-01-16,2,0,0,0,0.12,1.31,1,0,BULL,MACRO_BULL_LEG,snap|sweep
7816,2025-01-21,3,0,0,0,10.94,1.62,1,1,BULL,MACRO_BULL_LEG,sweep
7838,2025-01-27,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
7869,2025-02-03,3,0,0,0,5.47,0.89,1,0,BULL,MACRO_BULL_LEG,sweep
7902,2025-02-11,2,0,0,0,0.02,0.17,1,0,BULL,MACRO_BULL_LEG,snap|sweep
7924,2025-02-14,2,0,0,0,9.59,3.9,1,0,BULL,MACRO_BULL_LEG,snap|sweep
7933,2025-02-18,3,0,0,0,2.16,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
7943,2025-02-19,3,0,0,0,0.75,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
7993,2025-03-04,2,0,0,0,0.58,1.16,1,0,BULL,MACRO_BULL_LEG,sweep|bubble
8080,2025-03-24,2,0,0,0,14.4,3.9,1,1,BULL,MACRO_BULL_LEG,snap|sweep
8095,2025-03-27,2,0,0,0,6.84,0.9,1,0,BULL,MACRO_BULL_LEG,sweep|bubble
8111,2025-03-31,3,0,0,0,0.53,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
8133,2025-04-04,2,0,0,0,1.12,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
8149,2025-04-09,2,0,0,0,9.46,2.48,1,0,BULL,MACRO_BULL_LEG,sweep|bubble
8157,2025-04-10,3,0,0,0,6.41,0.57,1,0,BULL,MACRO_BULL_LEG,sweep
8200,2025-04-22,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
8216,2025-04-25,2,0,0,0,3.61,0.9,1,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
8236,2025-04-30,3,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,snap
8277,2025-05-09,3,0,0,0,0.04,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
8338,2025-05-23,3,0,0,0,0.0,-1.1,0,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep
8357,2025-05-28,3,0,0,0,9.15,1.78,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,snap
8371,2025-06-02,2,0,0,0,1.62,0.51,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep|bubble
8403,2025-06-09,3,0,0,0,3.63,0.66,1,0,BULL,MACRO_RANGE,sweep
8431,2025-06-16,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
8460,2025-06-23,1,1,0,0,1.97,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep|bubble
8479,2025-06-26,2,0,0,0,0.0,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
8497,2025-07-01,2,0,0,0,0.63,-0.09,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
8544,2025-07-11,2,0,0,0,1.83,1.01,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep|bubble
8589,2025-07-22,3,0,0,0,0.32,-1.1,0,0,BULL,MACRO_RANGE,sweep
8622,2025-07-30,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,sweep|bubble
8635,2025-08-01,2,0,0,0,2.76,-0.19,0,0,BULL,MACRO_BULL_LEG,sweep|bubble
8659,2025-08-07,3,0,0,0,1.07,-1.1,0,0,BULL,MACRO_TRANSITION,sweep
8765,2025-09-02,3,0,0,0,15.28,1.95,1,1,BULL,MACRO_RANGE,sweep
8823,2025-09-15,3,0,0,0,1.05,2.05,1,0,BULL,MACRO_BULL_LEG,sweep
8858,2025-09-23,3,0,0,0,0.13,1.24,1,0,BULL,MACRO_BULL_LEG,sweep
8878,2025-09-28,3,0,0,0,18.78,3.24,1,1,BULL,MACRO_BULL_LEG,sweep
8893,2025-10-01,3,0,0,0,0.57,2.83,1,0,BULL,MACRO_BULL_LEG,sweep
8905,2025-10-03,3,0,0,0,13.77,3.9,1,1,BULL,MACRO_BULL_LEG,sweep
8923,2025-10-08,3,0,0,0,0.58,0.9,1,0,BULL,MACRO_BULL_LEG,sweep
8940,2025-10-13,3,0,0,0,4.96,0.9,1,0,BULL,MACRO_BULL_LEG,sweep
8966,2025-10-17,2,0,0,0,4.03,-1.1,0,0,BULL,MACRO_BULL_LEG,snap|sweep
8978,2025-10-21,2,0,0,0,0.55,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
9007,2025-10-28,2,0,0,0,5.38,1.4,1,0,TRANSITION,MACRO_BULL_LEG,sweep|bubble
9081,2025-11-13,2,0,0,0,1.35,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
