bar_idx,datetime,new_pol,why,eng_pol,mfe_R,letrun,skip_winner_recovered,loser_take_cut,s_supply,s_leg,s_pullback,s_capit,s_regime,s_vol,s_bearbuy
2747,2021-10-12,TAKE,LEGITIMATE_BEAR_BUY,SKIP,5.38,5.11,1,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
2859,2021-11-05,REVIEW,AMBIGUOUS,REVIEW_RISK,4.16,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2896,2021-11-15,REVIEW,AMBIGUOUS,TAKE,0.81,-1.0,0,0,TESTING,MID_LEG,BOUGHT_DIP,NONE,RANGE,IN_VALUE,NOT_BEAR
2905,2021-11-17,REVIEW,AMBIGUOUS,TAKE,0.38,-1.0,0,0,REJECTING,LATE_EXTENDED,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2922,2021-11-22,REVIEW,AMBIGUOUS,SKIP,0.0,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,BULL,REJECTED_BELOW,NOT_BEAR
2944,2021-11-26,REVIEW,AMBIGUOUS,SKIP,1.46,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
2991,2021-12-08,REVIEW,AMBIGUOUS,SKIP,0.45,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
3011,2021-12-13,REVIEW,AMBIGUOUS,REVIEW,0.12,-1.0,0,0,REJECTING,YOUNG_IMPULSE,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
3029,2021-12-16,REVIEW,AMBIGUOUS,TAKE,2.88,2.35,0,0,MARKUP_ACCEPTED,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3070,2021-12-28,REVIEW,AMBIGUOUS,TAKE,0.29,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3085,2021-12-30,REVIEW,AMBIGUOUS,TAKE,1.75,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3102,2022-01-04,REVIEW,AMBIGUOUS,SKIP,1.23,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3118,2022-01-07,REVIEW,AMBIGUOUS,SKIP,0.0,-1.0,0,0,CLEAR,MID_LEG,DISTRIBUTION,CLIMAX_RECLAIM,BULL,IN_VALUE,NOT_BEAR
3126,2022-01-10,REVIEW,AMBIGUOUS,SKIP,5.05,-1.0,0,0,TESTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3147,2022-01-14,REVIEW,AMBIGUOUS,TAKE,0.27,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,RANGE,IN_VALUE,NOT_BEAR
3162,2022-01-18,REVIEW,AMBIGUOUS,TAKE,4.84,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,FALLING_KNIFE,RANGE,IN_VALUE,NOT_BEAR
3178,2022-01-21,REVIEW,AMBIGUOUS,TAKE,3.16,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,REJECTED_BELOW,NOT_BEAR
3190,2022-01-25,REVIEW,AMBIGUOUS,REVIEW_RISK,1.81,-1.0,0,0,TESTING,MID_LEG,MID,NONE,BULL,REJECTED_BELOW,NOT_BEAR
3219,2022-02-01,TAKE,REVERSAL_RUNNER,SKIP,0.92,-1.0,0,0,CLEAR,MID_LEG,DEEP_RECLAIM,CLIMAX_RECLAIM,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3238,2022-02-04,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,CLEAR,YOUNG_IMPULSE,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3252,2022-02-08,TAKE,MARKUP_CONTINUATION,REVIEW_RISK,23.67,21.12,1,0,MARKUP_ACCEPTED,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3326,2022-02-24,REVIEW,AMBIGUOUS,TAKE,0.29,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,RANGE,IN_VALUE,NOT_BEAR
3443,2022-03-24,REVIEW,AMBIGUOUS,TAKE,0.82,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3474,2022-03-31,REVIEW,AMBIGUOUS,REVIEW_RISK,0.02,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3491,2022-04-05,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3509,2022-04-08,REVIEW,AMBIGUOUS,TAKE,4.61,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3622,2022-05-06,REVIEW,AMBIGUOUS,SKIP,0.51,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
3678,2022-05-19,SKIP,BEAR_PULLBACK_TRAP,REVIEW,2.19,-1.0,0,0,REJECTING,YOUNG_IMPULSE,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
3773,2022-06-10,SKIP,BEAR_PULLBACK_TRAP,SKIP,4.85,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,FALLING_KNIFE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
3799,2022-06-16,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.0,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
3825,2022-06-23,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.96,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
3836,2022-06-26,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.47,-1.0,0,0,MARKUP_BREAKING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
3929,2022-07-18,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.05,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,FALLING_KNIFE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
3949,2022-07-21,SKIP,BEAR_PULLBACK_TRAP,SKIP,6.62,2.96,0,0,MARKUP_ACCEPTED,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
4095,2022-08-25,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.79,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
4243,2022-09-28,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.0,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
4309,2022-10-13,SKIP,BEAR_PULLBACK_TRAP,SKIP,0.3,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,IN_VALUE,BEAR_PULLBACK_TRAP
4346,2022-10-23,SKIP,BEAR_PULLBACK_TRAP,SKIP,1.32,-1.0,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
4372,2022-10-28,SKIP,BEAR_PULLBACK_TRAP,REVIEW,0.0,-1.0,0,0,REJECTING,YOUNG_IMPULSE,DISTRIBUTION,FALLING_KNIFE,BEAR_MARKDOWN,REJECTED_BELOW,BEAR_PULLBACK_TRAP
4384,2022-11-01,TAKE,LEGITIMATE_BEAR_BUY,SKIP,0.69,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,CLIMAX_RECLAIM,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
4401,2022-11-04,TAKE,LEGITIMATE_BEAR_BUY,SKIP,10.31,10.04,1,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
4429,2022-11-10,TAKE,LEGITIMATE_BEAR_BUY,TAKE,1.64,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
4483,2022-11-23,SKIP,BEAR_PULLBACK_TRAP,TAKE,6.01,5.51,0,0,REJECTING,MID_LEG,MID,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,BEAR_PULLBACK_TRAP
4513,2022-11-30,TAKE,LEGITIMATE_BEAR_BUY,TAKE,4.54,3.38,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
4530,2022-12-05,REVIEW,AMBIGUOUS,TAKE,25.14,22.4,0,0,REJECTING,MID_LEG,DISTRIBUTION,NONE,BULL,REJECTED_BELOW,NOT_BEAR
4574,2022-12-15,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,IN_VALUE,NOT_BEAR
4609,2022-12-22,REVIEW,AMBIGUOUS,TAKE,16.21,15.9,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,IN_VALUE,NOT_BEAR
4644,2023-01-03,REVIEW,AMBIGUOUS,TAKE,7.45,6.02,0,0,REJECTING,MID_LEG,MID,NONE,BULL,IN_VALUE,NOT_BEAR
4677,2023-01-11,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
4763,2023-01-31,REVIEW,AMBIGUOUS,TAKE,1.86,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
4899,2023-03-03,TAKE,LEGITIMATE_BEAR_BUY,TAKE,1.14,-1.0,0,0,MARKUP_ACCEPTED,MID_LEG,BOUGHT_DIP,NONE,BEAR_MARKDOWN,ACCEPTING_ABOVE_VALUE,LEGITIMATE_BEAR_BUY
4908,2023-03-06,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,TESTING,MID_LEG,MID,NONE,RANGE,REJECTED_BELOW,NOT_BEAR
