episode_first_idx,candidate_id,timestamp,n_candidates_in_episode,outcome_R_2R,outcome_how,dist_supply_low_atr,demand_category,supply_category,polarity_category,reclass,near_BOM_12b,dense_leg,buckets
7569,C7569,2024-11-21 11:00,1,2.0,target,2.49,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
7577,C7577,2024-11-22 19:00,38,-1.0,stop,1.73,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7662,C7662,2024-12-12 23:00,13,-1.0,stop,1.66,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,1,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7710,C7710,2024-12-26 03:00,4,-1.0,stop,2.0,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,NA,0,0,UNCLASSIFIED
7731,C7731,2024-12-31 15:00,15,2.0,target,1.79,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
7765,C7765,2025-01-09 07:00,15,2.0,target,4.03,DEMAND_TOO_DEEP,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
7797,C7797,2025-01-16 15:00,5,2.0,target,1.91,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED
7816,C7816,2025-01-21 19:00,7,2.0,target,3.22,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED
7838,C7838,2025-01-27 11:00,2,-1.0,stop,1.49,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_SINGLE_CLEAN_SIGNAL|UNKNOWN_TOP_SWEEP_RISK
7869,C7869,2025-02-03 15:00,8,2.0,target,,DEMAND_TOO_DEEP,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
