cluster_id,bar_idx,datetime,flush,clean_sky,demand,acceptance,weekly,cascade,mfe_R,is_hard_cluster,block_type,block_decision
8,3929,2022-07-18,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.622,-3.0,0.1,1,BEAR_PULLBACK_TRAP,SKIP
8,4095,2022-08-25,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.575,-1.0,0.8,1,MARKUP_CONTINUATION,REVIEW
8,4243,2022-09-28,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.582,-2.0,0.0,1,REVERSAL_RUNNER,TAKE
8,4346,2022-10-23,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.564,-2.0,1.3,1,BEAR_PULLBACK_TRAP,SKIP
8,4429,2022-11-10,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.33,3.0,1.6,1,REVERSAL_RUNNER,TAKE
8,4513,2022-11-30,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.093,3.0,4.5,1,MARKUP_CONTINUATION,TAKE
8,4926,2023-03-09,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.536,-1.0,18.0,1,BEAR_PULLBACK_TRAP,SKIP
8,5016,2023-03-30,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.496,3.0,0.5,1,MARKUP_CONTINUATION,TAKE
8,5530,2023-07-31,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.15,0.0,0.1,1,MARKUP_CONTINUATION,TAKE
8,5842,2023-10-11,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,-0.189,1.0,13.5,1,MARKUP_CONTINUATION,TAKE
8,6711,2024-05-06,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.901,1.0,0.1,1,BULL_PULLBACK,REVIEW
8,6767,2024-05-17,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.067,2.0,1.9,1,MARKUP_CONTINUATION,TAKE
8,6992,2024-07-10,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.502,1.0,7.2,1,BULL_PULLBACK_CONTINUATION,TAKE
8,7549,2024-11-18,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.741,1.0,5.5,1,BEAR_PULLBACK_TRAP,SKIP
8,7797,2025-01-16,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.12,3.0,0.1,1,MARKUP_CONTINUATION,REVIEW
8,7933,2025-02-18,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.352,1.0,2.2,1,BULL_PULLBACK,TAKE
8,8479,2025-06-26,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.896,1.0,0.0,1,RANGE_ABSORPTION,REVIEW
8,9628,2026-03-25,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,1.067,-1.0,0.1,1,SUPPLY_REJECTION,SKIP
8,9805,2026-05-06,MIXED_DECLINE,False,DEMAND_SUPPORTING_RETEST,ACCEPTED_ABOVE_RES,0.092,-2.0,1.4,1,SUPPLY_REJECTION,SKIP
9,383,2020-03-31,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,REJECTED_AT_RES,0.503,2.0,0.0,0,SUPPLY_REJECTION,SKIP
10,458,2020-04-17,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,BROKE_SUPPORT,0.544,2.0,0.0,0,BULL_PULLBACK,SKIP
10,970,2020-08-17,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,BROKE_SUPPORT,0.891,2.0,1.7,0,BULL_PULLBACK,REVIEW
10,5042,2023-04-06,MIXED_DECLINE,True,DEMAND_ABSENT_OR_IRRELEVANT,BROKE_SUPPORT,0.516,3.0,0.6,0,BULL_PULLBACK,TAKE
