bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
8111,,2025-03-31 22:00,7.39,-1.1,STOP_LOSS,0,0,22.98,12.2,LOSERS
8133,,2025-04-04 14:00,0.85,-1.1,STOP_LOSS,0,0,9.41,20.04,WINNERS
8149,,2025-04-09 06:00,2.86,2.48,WIN_HELD,0,0,3.92,14.81,WINNERS
8157,,2025-04-10 14:00,5.59,0.57,SCRATCH,0,0,17.67,7.6,LOSERS
8200,,2025-04-22 18:00,2.65,-1.1,STOP_LOSS,0,0,15.51,5.36,LOSERS
8216,,2025-04-25 10:00,0.61,0.9,WIN_BE,0,0,4.65,7.19,WINNERS
8236,,2025-04-30 18:00,0.87,-1.1,STOP_LOSS,0,0,5.88,7.11,WINNERS
8277,,2025-05-09 14:00,3.33,-1.1,STOP_LOSS,0,0,2.12,11.59,WINNERS
8338,,2025-05-23 18:00,3.54,-1.1,STOP_LOSS,0,0,11.49,1.75,LOSERS
8357,,2025-05-28 22:00,2.65,1.78,WIN_HELD,0,0,3.13,13.1,WINNERS
8371,,2025-06-02 06:00,4.64,0.51,SCRATCH,0,0,17.87,8.35,LOSERS
8403,,2025-06-09 14:00,2.99,0.66,SCRATCH,0,0,6.02,6.23,WINNERS
8431,,2025-06-16 06:00,3.99,-1.1,STOP_LOSS,0,0,14.54,4.92,LOSERS
8460,,2025-06-23 02:00,1.0,-1.1,STOP_LOSS,0,0,4.25,14.96,WINNERS
8479,,2025-06-26 06:00,1.73,-1.1,STOP_LOSS,0,0,7.58,18.51,WINNERS
8497,,2025-07-01 06:00,4.81,-0.09,SCRATCH,0,0,1.53,11.84,WINNERS
8544,,2025-07-11 06:00,2.22,1.01,WIN_HELD,0,0,5.79,6.14,WINNERS
8589,,2025-07-22 18:00,8.21,-1.1,STOP_LOSS,0,0,20.93,10.31,LOSERS
8622,,2025-07-30 06:00,3.38,-1.1,STOP_LOSS,0,0,7.21,17.87,WINNERS
8635,,2025-08-01 10:00,3.63,-0.19,SCRATCH,0,0,3.01,14.0,WINNERS
8659,,2025-08-07 10:00,1.81,-1.1,STOP_LOSS,0,0,8.62,3.3,LOSERS
8765,,2025-09-02 02:00,5.5,1.95,WIN_HELD,0,0,20.81,10.58,LOSERS
8823,,2025-09-15 18:00,4.39,2.05,WIN_HELD,0,0,20.69,9.77,LOSERS
8858,,2025-09-23 14:00,7.48,1.24,SCRATCH,0,0,20.3,9.41,LOSERS
8878,,2025-09-28 22:00,2.74,3.24,WIN_HELD,0,0,17.73,7.09,LOSERS
8893,,2025-10-01 10:00,2.96,2.83,WIN_HELD,0,0,17.14,6.38,LOSERS
8905,,2025-10-03 10:00,2.73,3.9,WIN_RUNNER,0,0,18.07,7.34,LOSERS
8923,,2025-10-08 10:00,4.14,0.9,WIN_BE,0,0,22.19,11.3,LOSERS
8940,,2025-10-13 06:00,3.34,0.9,WIN_BE,0,0,19.43,9.08,LOSERS
8966,,2025-10-17 14:00,2.61,-1.1,STOP_LOSS,0,0,12.75,3.72,LOSERS
8978,,2025-10-21 14:00,0.42,-1.1,STOP_LOSS,0,0,2.15,9.98,WINNERS
9007,,2025-10-28 10:00,2.55,1.4,SCRATCH,0,0,15.59,26.48,WINNERS
9081,,2025-11-13 19:00,2.22,-1.1,STOP_LOSS,0,0,12.96,3.79,LOSERS
