bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
4908,2023-03-06,0,0.0,-1,0,MIXED_DECLINE,2.14,0.71,0.88,2,3,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,1011,BELOW_VALUE_REJECTED,5,5,-1.07,EQUILIBRIUM,0.59,EQUILIBRIUM,0.49,REGIME_IMPROVING,0.333,1.0,0,0
4918,2023-03-08,1,0.01,6,0,FLUSH_V,5.93,1.19,1.4,0,5,ACCEPTED_ABOVE_RES,4,2,6,STRUCTURE_RANGE,0,0,1012,ACCEPTING_ABOVE_VALUE,4,9,0.86,DISCOUNT,0.23,DISCOUNT,0.18,REGIME_NEUTRAL,-0.167,-1.0,0,0
4926,2023-03-09,0,0.0,-1,0,MIXED_DECLINE,1.66,0.83,0.55,1,2,ACCEPTED_ABOVE_RES,8,1,1,STRUCTURE_RANGE,1,0,1015,ACCEPTING_ABOVE_VALUE,6,6,2.07,EQUILIBRIUM,0.51,DISCOUNT,0.3,REGIME_NEUTRAL,-0.167,-1.0,0,0
4964,2023-03-20,0,0.0,-1,1,FLUSH_V,1.36,1.36,1.33,0,1,ACCEPTED_ABOVE_RES,5,2,0,STRUCTURE_DOWN,0,0,1021,ACCEPTING_ABOVE_VALUE,9,3,0.62,PREMIUM,0.98,PREMIUM,0.89,REGIME_IMPROVING,0.333,3.0,0,0
4996,2023-03-27,0,0.0,-1,0,MIXED_DECLINE,4.62,0.77,0.96,7,6,HOLDING_SUPPORT,0,1,0,STRUCTURE_DOWN,0,0,1027,BELOW_VALUE_REJECTED,7,6,-1.64,DISCOUNT,0.18,PREMIUM,0.7,REGIME_STABLE_BULL,-0.167,2.0,0,0
5016,2023-03-30,0,0.0,-1,1,MIXED_DECLINE,1.76,0.88,0.91,0,2,ACCEPTED_ABOVE_RES,4,2,1,STRUCTURE_DOWN,0,0,1033,ACCEPTING_ABOVE_VALUE,7,3,1.17,PREMIUM,0.88,PREMIUM,0.85,REGIME_IMPROVING,0.333,3.0,0,0
5042,2023-04-06,0,0.0,-1,0,MIXED_DECLINE,2.43,0.61,1.0,0,4,BROKE_SUPPORT,0,0,3,STRUCTURE_UP,0,0,1039,IN_VALUE,8,2,0.12,PREMIUM,0.8,PREMIUM,0.93,REGIME_STABLE_BULL,0.167,3.0,0,0
5055,2023-04-11,0,0.0,-1,0,GRIND_DOWN,4.75,0.37,1.1,0,13,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,1040,IN_VALUE,3,3,0.57,EQUILIBRIUM,0.45,PREMIUM,0.83,REGIME_STABLE_BULL,-0.167,1.0,0,0
5087,2023-04-18,0,0.0,-1,0,FLUSH_V,2.77,1.39,1.38,0,2,ACCEPTED_ABOVE_RES,6,1,0,STRUCTURE_DOWN,0,0,1047,IN_VALUE,4,6,0.39,EQUILIBRIUM,0.34,EQUILIBRIUM,0.61,REGIME_STABLE_BULL,0.0,1.0,0,0
5103,2023-04-21,0,0.0,-1,0,MIXED_DECLINE,2.74,0.69,0.81,4,4,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,1051,BELOW_VALUE_REJECTED,3,6,-1.36,EQUILIBRIUM,0.39,EQUILIBRIUM,0.4,REGIME_STABLE_BULL,0.0,3.0,0,0
