bar_idx,datetime,mfe_R,policy,leg,bottleneck
9504,2026-02-24,7.2,REVIEW_RISK,MACRO_RANGE,READING_ONLY
9512,2026-02-25,5.18,TAKE,MACRO_RANGE,EXIT_ONLY
9523,2026-02-27,2.91,TAKE,MACRO_RANGE,EXIT_ONLY
9530,2026-03-02,0.87,TAKE,MACRO_RANGE,READING_ONLY
9537,2026-03-03,0.36,TAKE,MACRO_RANGE,READING_ONLY
9582,2026-03-13,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
9628,2026-03-25,0.15,SKIP,MACRO_RANGE,RESIDUAL
9646,2026-03-30,3.58,REVIEW,MACRO_BEAR_LEG,EXIT_ONLY
9727,2026-04-17,0.1,TAKE,MACRO_RANGE,READING_ONLY
9805,2026-05-06,1.4,REVIEW,MACRO_BULL_LEG,RESIDUAL
