bar_idx,datetime,decision_v3,decision_fixed,changed,leg,macro_broken,combined,realR
7119,2024-08-08 10:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,1.91
7129,2024-08-12 02:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,0.9
7149,2024-08-15 10:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,3.9
7232,2024-09-04 06:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,3.9
7253,2024-09-09 18:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,2,3.61
7408,2024-10-15 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,1.58
7426,2024-10-18 14:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,0.37
7454,2024-10-25 06:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,3,0.9
7509,2024-11-07 11:00,PRESERVE_BOTTOM_TURN,PRESERVE_BOTTOM_TURN,NO,MACRO_TRANSITION,False,1,-1.1
7549,2024-11-18 03:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,1,1.5
7569,2024-11-21 11:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,0,-1.1
7577,2024-11-22 19:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,True,2,-1.1
7662,2024-12-12 23:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,3,-1.1
7710,2024-12-26 03:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-3,1.21
7731,2024-12-31 15:00,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,NO,MACRO_TRANSITION,True,-1,2.05
7765,2025-01-09 07:00,ALLOW,ALLOW,NO,MACRO_RANGE,True,2,1.44
7797,2025-01-16 15:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,True,3,1.31
7816,2025-01-21 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,1.62
7838,2025-01-27 11:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
7869,2025-02-03 15:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.89
7902,2025-02-11 03:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.17
7924,2025-02-14 19:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,3.9
7933,2025-02-18 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
7943,2025-02-19 23:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
7993,2025-03-04 07:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,1.16
8080,2025-03-24 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,3.9
8095,2025-03-27 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,0.9
8111,2025-03-31 22:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
8133,2025-04-04 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,1,-1.1
8149,2025-04-09 06:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,2.48
8157,2025-04-10 14:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,0.57
8200,2025-04-22 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,3,-1.1
8216,2025-04-25 10:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,0.9
8236,2025-04-30 18:00,ALLOW,ALLOW,NO,MACRO_BULL_LEG,False,2,-1.1
8277,2025-05-09 14:00,ALLOW,ALLOW,NO,MACRO_TRANSITION,False,2,-1.1
8338,2025-05-23 18:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,2,-1.1
8357,2025-05-28 22:00,ALLOW,ALLOW,NO,MACRO_CORRECTIVE_PULLBACK,False,1,1.78
8371,2025-06-02 06:00,BLOCK_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,NO,MACRO_CORRECTIVE_PULLBACK,False,1,0.51
8403,2025-06-09 14:00,ALLOW,ALLOW,NO,MACRO_RANGE,False,1,0.66
