episode_id,datetime,macro_phase_causal,old_policy,exit,realR
6193,2024-01-04,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
6210,2024-01-08,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
6295,2024-01-29,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,-0.32
6362,2024-02-13,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,STOP_LOSS,-1.1
6376,2024-02-15,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,WIN_HELD,1.89
6453,2024-03-05,MACRO_BULL_RUN,SKIP_STRUCTURAL,SCRATCH,0.13
6471,2024-03-08,MACRO_BULL_RUN,SKIP_STRUCTURAL,SCRATCH,0.05
6489,2024-03-13,MACRO_BULL_RUN,UNKNOWN,STOP_LOSS,-1.1
6523,2024-03-21,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,SCRATCH,1.17
6597,2024-04-09,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
6610,2024-04-11,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
6711,2024-05-06,MACRO_RANGE_TRANSITION,REVIEW,WIN_HELD,1.78
6729,2024-05-09,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_HELD,1.69
6741,2024-05-13,MACRO_BULL_RUN,UNKNOWN,WIN_BE,0.9
6767,2024-05-17,MACRO_BULL_RUN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
6791,2024-05-23,MACRO_BULL_RUN,UNKNOWN,WIN_HELD,1.91
6819,2024-05-30,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
6832,2024-06-03,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
6844,2024-06-05,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
6887,2024-06-14,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
6908,2024-06-20,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
6923,2024-06-24,MACRO_RANGE_TRANSITION,UNKNOWN,STOP_LOSS,-1.1
6954,2024-07-01,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_RUNNER,3.9
6962,2024-07-03,MACRO_BULL_PULLBACK,REVIEW,WIN_HELD,3.16
6977,2024-07-05,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
6992,2024-07-10,MACRO_BULL_RUN,REVIEW,WIN_HELD,1.78
7022,2024-07-17,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
7053,2024-07-24,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
7065,2024-07-26,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_BE,0.9
7094,2024-08-02,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
7119,2024-08-08,MACRO_BULL_RUN,REVIEW,WIN_HELD,1.91
7129,2024-08-12,MACRO_BULL_RUN,REVIEW,WIN_BE,0.9
7149,2024-08-15,MACRO_BULL_RUN,REVIEW,WIN_RUNNER,3.9
7232,2024-09-04,MACRO_BULL_RUN,REVIEW,WIN_RUNNER,3.9
7253,2024-09-09,MACRO_BULL_RUN,REVIEW,WIN_HELD,3.61
7408,2024-10-15,MACRO_BULL_RUN,REVIEW,SCRATCH,1.58
7426,2024-10-18,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,SCRATCH,0.37
7454,2024-10-25,MACRO_BULL_RUN,REVIEW,WIN_BE,0.9
7509,2024-11-07,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
7549,2024-11-18,MACRO_RANGE_TRANSITION,REVIEW,WIN_HELD,1.5
7569,2024-11-21,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
7577,2024-11-22,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
7662,2024-12-12,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
7710,2024-12-26,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,SCRATCH,1.21
7731,2024-12-31,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,WIN_HELD,2.05
7765,2025-01-09,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,SCRATCH,1.44
7797,2025-01-16,MACRO_BULL_RUN,REVIEW,SCRATCH,1.31
7816,2025-01-21,MACRO_BULL_RUN,REVIEW,SCRATCH,1.62
7838,2025-01-27,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
7869,2025-02-03,MACRO_BULL_RUN,REVIEW,SCRATCH,0.89
7902,2025-02-11,MACRO_BULL_RUN,TAKE_CANDIDATE,SCRATCH,0.17
7924,2025-02-14,MACRO_BULL_RUN,REVIEW,WIN_BE,3.9
7933,2025-02-18,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
7943,2025-02-19,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
7993,2025-03-04,MACRO_BULL_RUN,REVIEW,SCRATCH,1.16
8080,2025-03-24,MACRO_BULL_RUN,REVIEW,WIN_RUNNER,3.9
8095,2025-03-27,MACRO_BULL_RUN,TAKE_CANDIDATE,WIN_BE,0.9
8111,2025-03-31,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
8133,2025-04-04,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
8149,2025-04-09,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_HELD,2.48
8157,2025-04-10,MACRO_BULL_RUN,REVIEW,SCRATCH,0.57
8200,2025-04-22,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
8216,2025-04-25,MACRO_RANGE_TRANSITION,REVIEW,WIN_BE,0.9
8236,2025-04-30,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
8277,2025-05-09,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
8338,2025-05-23,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
8357,2025-05-28,MACRO_RANGE_TRANSITION,UNKNOWN,WIN_HELD,1.78
8371,2025-06-02,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,0.51
8403,2025-06-09,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.66
