candidate_id,timestamp,label,gt_id,fragile,anatomy_class,supply_category,demand_category,mfe_atr_36,mae_atr_36
C7632,2024-12-05 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,8.57,0.11
C7638,2024-12-08 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.07,0.86
C7639,2024-12-09 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,6.13,0.06
C7642,2024-12-09 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,4.14,1.98
C7643,2024-12-09 19:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_ABSENT_OR_IRRELEVANT,4.51,1.85
C7644,2024-12-09 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,4.01,2.55
C7645,2024-12-10 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,3.87,2.56
C7731,2024-12-31 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,4.8,0.95
C7732,2024-12-31 19:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,5.45,0.94
C7748,2025-01-06 11:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_ORIGIN_OF_LEG,5.13,0.18
C7750,2025-01-06 19:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,5.21,0.26
C7751,2025-01-06 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_PRESENT_NEUTRAL,5.22,0.13
C7752,2025-01-07 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,4.96,0.22
C7753,2025-01-07 07:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,4.66,0.17
C7755,2025-01-07 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,3.77,0.29
C7756,2025-01-07 19:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,4.08,0.26
C7765,2025-01-09 07:00,UNKNOWN,,no,STRONG_CONTINUATION,CLEAN_SKY,DEMAND_TOO_DEEP,5.02,0.95
C7766,2025-01-09 11:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_TOO_DEEP,4.51,1.34
C7767,2025-01-09 15:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_TOO_DEEP,4.43,1.22
C7768,2025-01-09 19:00,UNKNOWN,,no,GOOD_CONTINUATION,CLEAN_SKY,DEMAND_TOO_DEEP,5.11,1.27
C7778,2025-01-13 11:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,5.65,1.27
C7781,2025-01-13 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,6.8,0.91
C7782,2025-01-14 03:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_TOO_DEEP,7.45,0.76
C7784,2025-01-14 11:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,7.67,-0.01
C7785,2025-01-14 15:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_SUPPORTING_RETEST,7.12,0.24
C7787,2025-01-14 23:00,UNKNOWN,,no,STRONG_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_SUPPORTING_RETEST,8.4,0.12
C7789,2025-01-15 07:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_FAR_ENOUGH,DEMAND_SUPPORTING_RETEST,7.16,1.13
C7804,2025-01-17 19:00,UNKNOWN,,no,GOOD_CONTINUATION,SUPPLY_NEAR_AND_REJECTING,DEMAND_PRESENT_NEUTRAL,7.87,1.22
