bar_idx,datetime,mfe_R,capped,vstair,letrun,edge_class
9432,2026-02-06,2.83,0.09,1.1,1.1,EXIT_MANAGEMENT_EDGE
9492,2026-02-20,0.0,0.25,-1.0,-1.0,NO_EDGE_DETECTED
9504,2026-02-24,7.2,0.16,2.0,-1.0,RISK_SHAPING_EDGE
9512,2026-02-25,5.18,0.9,2.0,-1.0,RISK_SHAPING_EDGE
9523,2026-02-27,2.91,-1.1,0.0,-1.0,EXIT_MANAGEMENT_EDGE
9530,2026-03-02,0.87,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9537,2026-03-03,0.36,-0.59,-1.0,-1.0,NO_EDGE_DETECTED
9582,2026-03-13,0.0,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
9628,2026-03-25,0.15,0.5,-1.0,-1.0,NO_EDGE_DETECTED
9646,2026-03-30,3.58,1.24,1.07,1.07,BETA_ONLY
9727,2026-04-17,0.1,-1.11,-1.0,-1.0,NO_EDGE_DETECTED
9805,2026-05-06,1.4,-1.1,-1.0,-1.0,NO_EDGE_DETECTED
