strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XPT_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt2.0R,63,3.49,0.0555,0.317,1.13,7,-6.26,-16.01,0.17,0.74
XPT_SWING_4H_brk10_b60|DXY_strong_bear|HTF1D+12H|tgt3.0R,67,3.4,0.0507,0.284,1.11,9,-11.35,-24.39,0.18,0.79
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D|tgt4.0R,48,3.32,0.0692,0.312,1.19,8,-11.76,-16.78,0.43,1.83
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt4.0R,48,3.32,0.0692,0.312,1.19,8,-11.76,-16.78,0.43,1.83
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D+12H|tgt2.0R,67,3.1,0.0463,0.328,1.11,9,-6.65,-16.4,0.18,0.79
XPT_INTRA_1H_pullback|DXY_bear|HTF1D|tgt3.0R,45,2.93,0.0651,0.289,1.2,10,-10.44,-14.17,0.4,1.71
XPT_INTRA_1H_pullback|DXY_bear|HTF1D+HTF4H|tgt3.0R,45,2.93,0.0651,0.289,1.2,10,-10.44,-14.17,0.4,1.71
XPT_SWING_4H_brk10_b70|DXY_strong_bear|HTF1D|tgt2.0R,56,2.84,0.0508,0.321,1.12,9,-6.91,-16.66,0.15,0.66
XPT_SWING_4H_brk10_b60|DXY_bear|HTF1D+12H|tgt3.0R,81,2.81,0.0347,0.284,1.07,9,-11.94,-25.27,0.22,0.95
XPT_SWING_4H_brk10_b50|DXY_strong_bear|HTF1D|tgt3.0R,77,2.8,0.0363,0.286,1.08,8,-11.95,-25.91,0.21,0.9
XPT_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt2.0R,75,2.63,0.0351,0.32,1.08,9,-7.12,-16.87,0.21,0.88
XPT_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt2.0R,68,2.37,0.0349,0.353,1.08,7,-7.38,-17.13,0.18,0.79
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D+12H|tgt2.0R,84,2.33,0.0278,0.31,1.06,10,-7.42,-17.17,0.23,0.99
XPT_SWING_4H_brk10_b50|no_macro|HTF1D|tgt4.0R,117,2.27,0.0194,0.299,1.04,8,-17.48,-34.62,0.32,1.36
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,67,2.26,0.0338,0.448,1.08,7,-7.49,-17.24,0.59,2.52
XPT_SWING_4H_brk10_b60|DXY_below_ema200|HTF1D|tgt2.5R,84,2.19,0.0261,0.298,1.06,9,-10.06,-22.31,0.23,0.99
XPT_SWING_4H_brk_dec_b60_r12|no_macro|HTF1D+12H|tgt4.0R,95,2.19,0.0231,0.295,1.05,10,-17.56,-32.24,0.26,1.1
XPT_INTRA_1H_pullback|no_macro|HTF1D|tgt2.5R,77,2.12,0.0276,0.325,1.07,9,-10.13,-22.38,0.68,2.93
XPT_INTRA_1H_pullback|no_macro|HTF1D+HTF4H|tgt2.5R,77,2.12,0.0276,0.325,1.07,9,-10.13,-22.38,0.68,2.93
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D+HTF4H|tgt3.0R,48,2.1,0.0437,0.312,1.12,8,-11.73,-16.78,0.43,1.83
XPT_INTRA_1H_pullback|DXY_below_ema200|HTF1D|tgt3.0R,48,2.1,0.0437,0.312,1.12,8,-11.73,-16.78,0.43,1.83
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D|tgt2.0R,31,2.06,0.0664,0.387,1.14,4,-7.69,-14.66,0.08,0.36
XPT_SWING_4H_pullback|DXY_strong_bear|HTF1D+12H|tgt2.0R,31,2.06,0.0664,0.387,1.14,4,-7.69,-14.66,0.08,0.36
XPT_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt4.0R,88,2.06,0.0235,0.284,1.05,12,-17.69,-30.01,0.24,1.02
XPT_SWING_4H_brk10_b70|DXY_bear|HTF1D|tgt2.0R,68,2.05,0.0302,0.324,1.07,9,-7.7,-17.45,0.19,0.8
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D|tgt2.5R,27,2.04,0.0755,0.333,1.26,6,-6.83,-7.84,0.28,1.19
XPT_INTRA_1H_pullback|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,27,2.04,0.0755,0.333,1.26,6,-6.83,-7.84,0.28,1.19
XPT_SWING_4H_pullback|no_macro|HTF1D+12H|tgt3.0R,61,2.02,0.0331,0.311,1.07,7,-12.73,-23.6,0.16,0.71
XPT_INTRA_1H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt2.0R,68,2.01,0.0295,0.441,1.07,7,-7.74,-17.49,0.6,2.56
XPT_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+HTF4H|tgt4.0R,32,1.97,0.0615,0.406,1.14,6,-9.13,-13.54,0.29,1.25
XPT_INTRA_1H_pullback|no_macro|HTF1D|tgt4.0R,77,1.85,0.024,0.312,1.06,9,-15.16,-24.88,0.68,2.93
XPT_INTRA_1H_pullback|no_macro|HTF1D+HTF4H|tgt4.0R,77,1.85,0.024,0.312,1.06,9,-15.16,-24.88,0.68,2.93
