strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
XAG_INTRA_1H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt2.0R,39,3.75,0.096,0.487,1.28,5,-5.64,-10.68,0.34,1.48
XAG_INTRA_1H_brk_dec_b60_r12|no_macro|HTF1D|tgt2.0R,116,3.58,0.0309,0.405,1.08,7,-6.17,-15.92,1.0,4.26
XAG_INTRA_1H_brk10_b60|DXY_bear|HTF1D|tgt2.0R,93,3.42,0.0368,0.409,1.09,10,-6.33,-16.08,0.8,3.43
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt3.0R,47,3.32,0.0706,0.362,1.16,8,-9.85,-17.93,0.17,0.72
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt3.0R,47,3.32,0.0706,0.362,1.16,8,-9.85,-17.93,0.17,0.72
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D+HTF4H|tgt2.0R,50,3.27,0.0653,0.46,1.19,9,-6.48,-12.48,0.44,1.88
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt2.0R,75,2.89,0.0386,0.427,1.09,6,-6.86,-16.61,0.64,2.76
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.0R,75,2.89,0.0386,0.427,1.09,6,-6.86,-16.61,0.64,2.76
XAG_INTRA_1H_brk_dec_b70_r15|DXY_below_ema200|HTF1D+HTF4H|tgt2.0R,54,2.88,0.0533,0.444,1.17,6,-6.5,-12.36,0.47,2.03
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt4.0R,48,2.79,0.0581,0.375,1.14,8,-10.19,-17.77,0.17,0.74
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt4.0R,48,2.79,0.0581,0.375,1.14,8,-10.19,-17.77,0.17,0.74
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt3.0R,48,2.71,0.0564,0.375,1.14,8,-10.19,-17.77,0.17,0.74
XAG_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt3.0R,48,2.71,0.0564,0.375,1.14,8,-10.19,-17.77,0.17,0.74
XAG_INTRA_1H_brk_dec_b70_r15|no_macro|HTF1D+HTF4H|tgt4.0R,79,2.65,0.0335,0.367,1.09,12,-13.78,-21.27,0.68,2.91
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D|tgt2.5R,73,2.64,0.0362,0.397,1.09,6,-9.61,-19.28,0.63,2.69
XAG_INTRA_1H_brk10_b60|DXY_strong_bear|HTF1D+HTF4H|tgt2.5R,73,2.64,0.0362,0.397,1.09,6,-9.61,-19.28,0.63,2.69
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D+12H|tgt3.0R,46,2.45,0.0534,0.391,1.12,6,-10.31,-17.51,0.17,0.71
XAG_SWING_4H_brk_dec_b60_r12|DXY_bear|HTF1D|tgt3.0R,46,2.45,0.0534,0.391,1.12,6,-10.31,-17.51,0.17,0.71
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D+12H|tgt4.0R,47,2.32,0.0494,0.34,1.11,8,-11.72,-18.92,0.17,0.72
XAG_SWING_4H_brk_dec_b60_r12|DXY_below_ema200|HTF1D|tgt4.0R,47,2.32,0.0494,0.34,1.11,8,-11.72,-18.92,0.17,0.72
XAG_INTRA_1H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt2.0R,51,2.22,0.0435,0.451,1.12,9,-7.53,-13.53,0.45,1.92
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D|tgt2.0R,39,2.15,0.0551,0.41,1.12,4,-7.6,-16.07,0.15,0.63
XAG_SWING_4H_brk_dec_b60_r12|DXY_strong_bear|HTF1D+12H|tgt2.0R,39,2.15,0.0551,0.41,1.12,4,-7.6,-16.07,0.15,0.63
XAG_SWING_4H_pullback|no_macro|HTF1D+12H|tgt4.0R,38,2.09,0.055,0.237,1.1,10,-17.37,-21.1,0.15,0.66
